Titles	department
Choi, Young Rok(최영록)	Graduate School of Technology and Innovation Management(기술경영전문대학원)
Hong, Woonki(홍운기)	School of Business Administration(경영학부)
Jung, Kooyul(정구열)	Graduate School of Technology and Innovation Management(기술경영전문대학원)
Kim, MinChung(김민중)	School of Business Administration(경영학부)
Kim, Molan(김모란)	School of Business Administration(경영학부)
Kim, Yeolib(김여립)	Graduate School of Technology and Innovation Management(기술경영전문대학원)
Kim, Young Choon(김영춘)	Graduate School of Technology and Innovation Management(기술경영전문대학원)
Lee, Jacob C.(이채호)	School of Business Administration(경영학부)
Zhang, Lu(ZhangLu)	School of Business Administration(경영학부)
Au, Tsz-Chiu(AuTsz-Chiu)	School of Electrical and Computer Engineering(전기전자컴퓨터공학부)
Baek, Woongki(백웅기)	School of Electrical and Computer Engineering(전기전자컴퓨터공학부)
Bien, Franklin(변영재)	School of Electrical and Computer Engineering(전기전자컴퓨터공학부)
Byun, Gangil(변강일)	School of Electrical and Computer Engineering(전기전자컴퓨터공학부)
Chang, Jiwon(장지원)	School of Electrical and Computer Engineering(전기전자컴퓨터공학부)
Choi, Jaehyouk(최재혁)	School of Electrical and Computer Engineering(전기전자컴퓨터공학부)
Choi, Jaesik(최재식)	School of Electrical and Computer Engineering(전기전자컴퓨터공학부)
Choi, Young-Ri(최영리)	School of Electrical and Computer Engineering(전기전자컴퓨터공학부)
Chung, Il-Sug(정일석)	School of Electrical and Computer Engineering(전기전자컴퓨터공학부)
Chung, Jin-Ho(정진호)	School of Electrical and Computer Engineering(전기전자컴퓨터공학부)
Chun, Se Young(전세영)	School of Electrical and Computer Engineering(전기전자컴퓨터공학부)
Hwang, Sung Ju(황성주)(2014-08~2018-01)	School of Electrical and Computer Engineering(전기전자컴퓨터공학부)
Jeong, Won-Ki(정원기)	School of Electrical and Computer Engineering(전기전자컴퓨터공학부)
Joo, Changhee(주창희)	School of Electrical and Computer Engineering(전기전자컴퓨터공학부)
Jung, Jee-Hoon(정지훈)	School of Electrical and Computer Engineering(전기전자컴퓨터공학부)
Kang, Seokhyeong(강석형)(2014-08~2018-03)	School of Electrical and Computer Engineering(전기전자컴퓨터공학부)
